Task,Model,Architecture,Score,Parameters
Classification,Reg2Tertile(XGBoost) (Variant 28),Reg2Tertile(XGBoost),0.4269,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 5.0, 'reg_pipeline__model__reg_alpha': 0.3, 'reg_pipeline__model__min_child_weight': 10, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 1.0, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 29),Reg2Tertile(XGBoost),0.4198,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.5, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 30),Reg2Tertile(XGBoost),0.3828,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 5.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 5, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 31),Reg2Tertile(XGBoost),0.4495,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 0.5, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 3, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.5}"
Classification,Reg2Tertile(XGBoost) (Variant 32),Reg2Tertile(XGBoost),0.4821,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 5, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 33),Reg2Tertile(XGBoost),0.4903,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.3, 'reg_pipeline__model__min_child_weight': 3, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.5, 'reg_pipeline__model__colsample_bytree': 0.5}"
Classification,Reg2Tertile(XGBoost) (Variant 34),Reg2Tertile(XGBoost),0.3665,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 0.3, 'reg_pipeline__model__min_child_weight': 15, 'reg_pipeline__model__max_depth': 6, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 35),Reg2Tertile(XGBoost),0.437,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 15, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 36),Reg2Tertile(XGBoost),0.3824,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 3, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 1.0, 'reg_pipeline__model__colsample_bytree': 0.5}"
Classification,Reg2Tertile(XGBoost) (Variant 37),Reg2Tertile(XGBoost),0.3681,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 50.0, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 15, 'reg_pipeline__model__max_depth': 6, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.5, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 38),Reg2Tertile(XGBoost),0.5304,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 0.5, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 10, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 1.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 39),Reg2Tertile(XGBoost),0.3755,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 20.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 10, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.1, 'reg_pipeline__model__colsample_bytree': 0.5}"
Regression_Huber_For_Stacking,Huber (Variant 0),Huber,0.7309,"{'model__epsilon': 1.5, 'model__alpha': 0.01}"
Regression_Huber_For_Stacking,Huber (Variant 1),Huber,0.7432,"{'model__epsilon': 1.35, 'model__alpha': 0.01}"
Regression_Huber_For_Stacking,Huber (Variant 2),Huber,0.7693,"{'model__epsilon': 1.1, 'model__alpha': 0.0001}"
Regression_Huber_For_Stacking,Huber (Variant 3),Huber,0.77,"{'model__epsilon': 1.1, 'model__alpha': 0.01}"
Regression_Huber_For_Stacking,Huber (Variant 4),Huber,0.7429,"{'model__epsilon': 1.35, 'model__alpha': 0.001}"
Regression_Huber_For_Stacking,Huber (Variant 5),Huber,0.7307,"{'model__epsilon': 1.5, 'model__alpha': 0.0001}"
Regression_Huber_For_Stacking,Huber (Variant 6),Huber,0.7429,"{'model__epsilon': 1.35, 'model__alpha': 0.0001}"
Regression_Huber_For_Stacking,Huber (Variant 7),Huber,0.7186,"{'model__epsilon': 1.75, 'model__alpha': 0.01}"
Regression_Huber_For_Stacking,Huber (Variant 8),Huber,0.7694,"{'model__epsilon': 1.1, 'model__alpha': 0.001}"
Regression_Huber_For_Stacking,Huber (Variant 9),Huber,0.7184,"{'model__epsilon': 1.75, 'model__alpha': 0.001}"
